movieId,title,genres,imdbId,tmdbId,budget,genres_y,original_language,original_title,overview,popularity,release_date,revenue,runtime,vote_average,vote_count,poster_path
223,Clerks (1994),Comedy,109445,2292.0,27000,['Comedy'],en,Clerks,"Convenience and video store clerks Dante and Randal are sharp-witted, potty-mouthed and bored out of their minds. So in between needling customers, the counter jockeys play hockey on the roof, visit a funeral home and deal with their love lives.",19.748658,1994-09-13,3151130,92.0,7.4,755,
357,Four Weddings and a Funeral (1994),Comedy|Romance,109831,712.0,6000000,"['Comedy', 'Drama', 'Romance']",en,Four Weddings and a Funeral,Four Weddings And A Funeral is a British comedy about a British Man named Charles and an American Woman named Carrie who go through numerous weddings before they determine if they are right for one another.,29.834065,1994-03-09,254700832,117.0,6.6,632,
377,Speed (1994),Action|Romance|Thriller,111257,1637.0,30000000,"['Action', 'Adventure', 'Crime']",en,Speed,"Los Angeles SWAT cop Jack Traven is up against bomb expert Howard Payne, who's after major ransom money. First it's a rigged elevator in a very tall building. Then it's a rigged bus--if it slows, it will blow, bad enough any day, but a nightmare in LA traffic. And that's still not the end.",49.526736,1994-06-09,350448145,116.0,6.8,1783,
477,What's Love Got to Do with It? (1993),Drama|Musical,108551,15765.0,0,"['Drama', 'Music']",en,What's Love Got to Do with It,A film about the singer Tina Turner and how she rose to stardom with her abusive husband Ike Turner and how she gained the courage to break free.,7.921311,1993-06-09,0,118.0,6.9,72,
493,Menace II Society (1993),Action|Crime|Drama,107554,9516.0,3500000,"['Drama', 'Action', 'Crime']",en,Menace II Society,"Menace II Society is a coming of age tale detailing the summer after its protagonist Caine (Tyrin Turner) graduates from high school. This is Caine's story, which details real life in today's tough inner city.",3.418871,1993-05-26,27900000,97.0,7.2,173,
761,"Phantom, The (1996)",Action|Adventure,117331,9826.0,45000000,"['Adventure', 'Action']",en,The Phantom,The 21st successor to the role of Bengalla's resident superhero must travel to New York to prevent a rich madman from obtaining three magic skulls that would give him the secret to ultimate power.,9.025236,1996-06-06,17300889,100.0,4.7,136,
858,"Godfather, The (1972)",Crime|Drama,68646,238.0,6000000,"['Drama', 'Crime']",en,The Godfather,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.",143.659698,1972-03-14,245066411,175.0,8.4,5893,
914,My Fair Lady (1964),Comedy|Drama|Musical|Romance,58385,11113.0,17000000,"['Drama', 'Family', 'Music', 'Romance']",en,My Fair Lady,A misogynistic and snobbish phonetics professor agrees to a wager that he can take a flower girl and make her presentable in high society.,20.786616,1964-10-21,72070731,170.0,7.4,352,
976,"Farewell to Arms, A (1932)",Romance|War,22879,22649.0,4,"['Drama', 'Romance', 'War']",en,A Farewell to Arms,"British nurse Catherine Barkley (Helen Hayes) and American Lieutenant Frederic Henry (Gary Cooper) fall in love during the First World War in Italy. Eventually separated by Frederic's transfer, tremendous challenges and difficult decisions face each, as the war rages on. Academy Awards winner for Best Cinematography and for Best Sound, Recording. Nominated for Best Picture and for Best Art Direction.",1.199451,1932-12-08,25,89.0,6.2,28,
1051,Trees Lounge (1996),Drama,117958,27845.0,0,"['Comedy', 'Drama']",en,Trees Lounge,"Tommy has lost his job, his love and his life. He lives in a small apartment above the Trees Lounge, a bar which he frequents along with a few other regulars without lives. He gets a job driving an ice cream truck and ends up getting involved with the seventeen-year-old niece of his ex-girlfriend. This gets him into serious trouble with her father.",3.443916,1996-10-11,0,95.0,6.7,51,
1059,William Shakespeare's Romeo + Juliet (1996),Drama|Romance,117509,454.0,14500000,"['Drama', 'Romance']",en,Romeo + Juliet,"In director Baz Luhrmann's contemporary take on William Shakespeare's classic tragedy, the Montagues and Capulets have moved their ongoing feud to the sweltering suburb of Verona Beach, where Romeo and Juliet fall in love and secretly wed. Though the film is visually modern, the bard's dialogue remains.",41.493042,1996-10-31,147298761,120.0,6.7,1374,
1077,Sleeper (1973),Comedy|Sci-Fi,70707,11561.0,2000000,"['Comedy', 'Romance', 'Science Fiction']",en,Sleeper,"Miles Monroe, a clarinet-playing health food store proprietor, is revived out of cryostasis 200 years into a future world in order to help rebels fight an oppressive government regime.",10.664202,1973-12-17,18344729,89.0,7.0,200,
1114,"Funeral, The (1996)",Crime|Drama,116378,21612.0,12500000,"['Crime', 'Drama']",en,The Funeral,"The story concerns the funeral of one of three brothers in a family of gangsters that lived in New York in 1930s. Details of the past of the brothers and their families are shown through a series of flashbacks, climaxing in a shocking ending.",2.950618,1996-01-26,1227324,99.0,7.3,31,
1193,One Flew Over the Cuckoo's Nest (1975),Drama,73486,510.0,3000000,['Drama'],en,One Flew Over the Cuckoo's Nest,"While serving time for insanity at a state mental hospital, implacable rabble-rouser, Randle Patrick McMurphy inspires his fellow patients to rebel against the authoritarian rule of head nurse, Mildred Ratched.",127.525581,1975-11-18,108981275,133.0,8.2,2919,
1199,Brazil (1985),Fantasy|Sci-Fi,88846,68.0,15000000,"['Comedy', 'Science Fiction']",en,Brazil,"Low-level bureaucrat Sam Lowry escapes the monotony of his day-to-day life through a recurring daydream of himself as a virtuous hero saving a beautiful damsel. Investigating a case that led to the wrongful arrest and eventual death of an innocent man instead of wanted terrorist Harry Tuttle, he meets the woman from his daydream, and in trying to help her gets caught in a web of mistaken identities, mindless bureaucracy and lies.",41.089863,1985-02-20,0,132.0,7.5,861,
